raison_sociale;ville;mobile;tel;email;siteweb
SARL-PLURI-PERSONNELLE;ABIDJAN;+225 48471795;+225 22476777;contact@roshpinahtech.com;http://roshpinahtech.com
Suzosky;Abidjan;+225 58842029;+225 02453769;suzosky@gmail.com;http://www.suzosky.com
ATCO;ABIDJAN;+225 07016554;+225 07016554;augustekan@yahoo.fr;http://www.atco-group.com
KNOOR;Abidjan;+225 49423073;+225 23508823;kponroger@gmail.com;http://www.knoor.ci
ONIRIS;ABIDJAN;+225 08081488;+225 21245787;remidiar@hotmail.com;https://www.smspresto.com
OKSERVICES;abidjan;+225 77310321;+225 40930377;okservics12@gmail.com;http://www.okservices.com
AHOKO;Abidjan;+225 88414188;+225 22015812;eric.adangba@gmail.com;http://ahoko.net
AFRICATEMPLATE;Abidjan;+225 49272150;+225 22473847;ettienmichael@yahoo.fr;http://www.africatemplate.com
Global Electronique;Abidjan;+225 77538094;+225 21268574;nianeabdoulayeoumar@gmail.com;http://www.globalelectronique.com
TRAINERS' INTERNATIONAL;Abidjan;+225 05860977;+225 07190818;topenglish2013@gmail.com;http://www.top-english.org
RECCRUT;Abidjan;+225 88548510;+225 22425095;admin@reccrut.com;https://reccrut.com/
KAB SAS;Abidjan;+225 57417557;+225 22415510;oukaley@gmail.com;https://www.oukaley.com
BEST STYLE;Abidjan;+225 02071507;+225 48928967;allouamanlanhia@yahoo.fr;http://beststyle-ci.wixsite.com
Artelittera;Paris;+33 6 17 22 09 95;+33 9 80 77 86 71;contact@artelittera.com;http://www.artelittera.com
IMEDIAX UNIVERSAL Sarl;Abidjan;+225 77848477;+225 23488477;baniaciv@gmail.com;https://www.bania.ci
Oceane Group;Abidjan;+225 22007685;+225 22007684;akouame971@yahoo.fr;http://optical-store.net
Afrika Toon;Abidjan;+225 77183857;+225 22413448;afrikatoon@gmail.com;http://www.afrikatoon.com
online Business ;Abidjan;+225 88821657;+225 88821657;jilaniuk@yahoo.com;http://www.linksafrica.net
Société Anonyme;Abidjan;+225 08285392;+225 08215692;david@seedstars.com;http://seedstars.com
ESHYPE CI;Abidjan;+225 08611815;+225 08611815;ibrahim.diallo@eshype.com;https://www.eshype.com
SMARTCV;Abidjan;+225 89844309;+225 78299650;olivier.low@smartcv.ci;http://www.smartcv.ci
EBIC;Abidjan;+225 75452093;+225 03357421;tchiangsorho25@gmail.com;http://www.mavie-ci.com
Expertfox International;Abidjan;+225 09757296;+225 22522046;contact@expertfox.ci;http://www.expertfox.ci
LePortail SAS;Abidjan;+225 07129853;+225 07129853;wariba.com@gmail.com;https://www.leportail.ci
GEEAD;Abidjan;+225 47088913;+225 47088913;gabin.k.kouame@gmail.com;http://www.geeadci.org
TIXIT SARL;Abidjan;+225 08048016;+225 22450074;guillaume@tixit.tech;https://tixit.tech
AFTECH;Abidjan;+225 07204447;+225 21358224;sd.ouattara@elukit.com;http://www.elukit.com
Dvoyd;Abidjan;+225 77848842;+225 ;dvoyd@hotmail.com;https://agrin.dvoyd.com
CAPITAL CONNECT;Abidjan;+225 08131080;+225 20219884;accueil@capitalgroupes.com;http://www.capitalgroupes.com
IVORYWORK;Abidjan;+225 40998899;+225 85666622;romuald.ntakpe@emploi.ci;https://www.emploi.ci/
Feymie's;Abidjan;+225 56881199;+225 22415730;sanataflower@gmail.com;http://www.feymies.com
WOPS;Abidjan;+225 01015224;+225 88733786;tmpouli@wops.pro;http://www.wops.pro
CINETCORE;Abidjan;+225 09167474;+225 03038585;assandewilfried2905@gmail.com;http://fazol.feeling.ci
Helios Technologies;Abidjan;+225 58 54 54 52;+225 46562474;francksahe@yahoo.com;http://www.metier.ci/
vendre;Calavi;+229 97460279;+229 97460279;koussougbekevin@gmail.com;http://youdoc.be
CRISTAL PREMIUM SARL;Abidjan;+225 67502088;+225 22430059;lovebakoff@gmail.com;http://www.cristal-premium.com
On s'enjaille;abidjan;+225 56424396;+225 56424396;fucent1@gmail.com;http://sycapay.net
ARTHUR VERDIER;ABIDJAN;+225 07473978;+225 23526363;iyfrichard@yahoo.fr;http://gs-arthurverdier.com
CinetPay;Abidjan;+225 48357071;+225 48357071;ismael.toe@gmail.com;http://cinetpay.com
BIC TECH;Abidjan;+225 58313288;+225 225224283;virgil.koffi@hotmail.fr;https://bictech.net
Leadexport;Perpignan;+33 7 69 77 54 50;+33 7 69 77 54 50;babacar.ndiaye@leadexport.net;http://www.leadexport.net
Connectxglobal;Paris;+33 0 78 50 34 13;+33 7 85 03 41 3;bacely@wepioneer.fr;http://www.wepioneer.fr
CYBER ELYON MULTISERVICES;ABIDJAN;58646123;58646123;gomecyrille@gmail.com;http://ivoiresms.ci
ASSOCIATION;ABIDJAN;+225 07801817;+225 20010355;hvrespo@gmail.com;https://www.chemins-deguerison.net
NTCI;Abidjan;+225 58572785;+225 48421904;dkcorporation225@gmail.com;http://ntci.ci
ONG RIDDEF;Abidjan;+225 77051474;+225 22418212;chantayl2016@gmail.com;http://www.riddef.org
Eburnys Management Consulting;Abidjan;+225 07581565;+225 07581565;takaway.ci@gmail.com;http://www.takaway.com
BUTTERFLY;Abidjan;+225 47605420;+225 47605420;ivanediakite@gmail.com;http://www.butterflygroup.net
Groupe Jeronations-entreprises sarl;Abidjan;+225 47345375;+225 21368436;info@biostore-ci.net;http://www.biostore-ci.net
IS2I;Grand Bassam;+225 07405701;+225 21303516;jb.zakro@gmail.com;http://www.is2i.com
OPENWIFI;ABIDJAN;+225 07628729;+225 07628729;delhp77@gmail.com;http://openwifi.ci
HeartWork;Dakar;+221 772222100;+221 ;jokkotext@gmail.com;https://www.jokkotext.com
INCOME FOR AFRICA;Abidjan;+225 77888822;+225 22001999;admin@afripreneurs.org;http://www.afripreneurs.org
SOFTIC;abidjan;+225 77025605;+225 22528887;abdelkadersylla1@gmail.com;http://softic.ci
GOLDEN INVEST;BOUAKE;+225 48145363;+225 09701597;gedeonyao@yahoo.fr;http://communityhelpprogram.ci
ewallet;ABIDJAN;+225 07575200;+225 08117212;m.bamba@smartmotic.com;http://www.smartmotic.com
Children Of Africa;Abidjan;+225 00000000;+225 00000000;childrenofafrica@pharmacy.ci;http://childrenofafrica.org/
UNICEF;Abidjan;+225 21218250;+225 21218250;unicef@pharmacy.ci;https://www.unicef.org/cotedivoire/french/
BELIFE;Abidjan;+225 20311470;+225 20311470;belife@cinepay.com;https://www.belife.ci/
OVTB;ABIDJAN;+225 58532655;+225 58532655;krapascoal@yahoo.fr;http://www.ovtb.org
SAS;Abidjan ;+225 03805780;+225 53531797;henrilionel.ko@gmail.com;http://www.fisca.ci
NICOLE AKON CREATION;Abidjan;+225 48022174;+225 22411494;bricealexandredeneef@outlook.fr;http://www.travauxchap.com
mavie ci;ABIDJAN;+225 75452093;+225 23 46 42 58;mavieci326@gmail.com;http://www.mavie-ci.com
MAXOM;ABIDJAN;+225 57935117;+225 22010302;mensahmaster@gmail.com;http://www.maxom.xyz
Nedjma SARLU;Abidjan;+225 07479306;+225 22495686;contact@regienedjma.com;http://regienedjma.com/
GRACE LAND;Abidjan;+225 67636212;+225 67636212;paiement@graceland.ci;http://www.graceland.ci
Follenvie;ABIDJAN;+33 7 82 61 82 40;+225 07571616;elycame@gmail.com;http://www.follenvieshop.com/
DJOCY;Abidjan;+225 47944954;+225 48862164;yele.jeanmarie.vianet@gmail.com;http://www.djocy.net
EASY LIVE;DALOA;+225 49247177;+225 32782173;patricklebenis@gmail.com;http://www.easy-live.net
INDIVIDUELLE;ABIDJAN;+225 09198907;+225 21275870;renkarci@gmail.com;http://www.renkar.ci
ASSOCIATION;Abidjan;+225 07483372;+225 06168474;apocasien@gmail.com;http://www.clubdesvainqueurs.com
EDEN FASHION;ABIDJAN;+225 09212573;+225 22436976;info@edenfashion.shop;http://edenfashion.shop/
Solidarité Mondiale;Paris;+33 6 52 26 27 98;+33 ;christian.agbohou@agbocorp.com;http://www.nicolasagbohou.com
IPWAV;Abidjan;+225 51100723;+225 22412916;adje.christian@ipwav.com;http://www.ipwav.com
COM TECHNOLOGIE;Abidjan;+225 09528743;+225 21263195;infos@pithacute.com;http://www.pithacute.com
AGREGAT;ABIDJAN;+225 07969670;+225 23451310;cyrille.bakagna@groupe-agregat.com;http://groupe-agregat.com
Croix-Rouge de Côte d'Ivoire;Abidjan;+225 03214078;+225 20321335;affromailpro@gmail.com;http://www.croixrougeci.org
Le Pari Quotidien;Seneffe;+32 477705368;+32 ;philippe.bello@gmail.com;http://lepariquotidien.com
ALL MOL TECHNOLOGY;PETIT BOURG;+590 690306514;+590 690306514;paiement@allmol.com;http://tickets.allmol.com
BEST DIGITAL BOOKS;Lomé;+228 93895111;+228 93895111;zuhdodzi@gmail.com;http://www.bedibook.com
Pharmao SAS;Beziers;+33 6 83 96 08 98;+33 6 83 96 08 98;nicolas@pharmao.fr;http://www.pharmao.fr
Armanda E-Shop;Abidjan;+225 07512993;+225 21560928;alainalla@gmail.com;http://www.armanda-eshop.com
groodeal;abidjan;+225 54468866;+225 54468866;aida.kangoye@gmail.com;http://www.groodeal.com
SARL;Abidjan;+225 07334770;+225 22465366;webmaster@keyolis.com;http://www.keyolis.com
marchant;abidjan;+225 78052194;+225 21261677;makankon@gmail.com;http://www.imatrix.ci
dereka sarl;ABIDJAN;+225 07114587;+225 21253867;derekasarl@gmail.com;http://www.derekasport.com
Harysalema;Abidjan;+225 54467944;+225 77308600;contact@harysalema.com;https://www.harysalema.com
SAX ENTREPRISE;ABIDJAN;+225 49292220;+225 23464595;contact@binfel.com;https://formations.binfel.com
Svend&Co;Paris;+33 6 12 23 42 43;+33 1 40 50 60 60;svend.courtpayen@gmail.com;http://www.svend.com
QUEEN GOLD;Abidjan;+225 59713252;+225 59713252;djayao@yahoo.com;http://queengoldskincare.com/
TRANSFER4AFRICA;Abidjan;+225 09818479;+225 09818479;support@transfer4africa.com;https://transfer4africa.com//
Yhebe Design;Abidjan;+225 08379077;+225 08379077;yhebe.design@hotmail.com;http://www.yhebedesign.org
ELYONSOFT;Abidjan;+225 57931125;+225 22492668;aka.richard31@gmail.com;http://www.tribunalcommerceabidjan.org/
GLOBAL SUPPLY & LOGISTICS;ABIDJAN;+225 64983602;+225 64983602;info@placentor.ci;http://www.placentor.ci
Betclic;Sliema;+356 99038983;+356 212234321;testmanualpayouts@betclicgroup.com;http://betclic.com
Marchand TEST;Abidjan;+225 40404040;+225 40404040;cinetpaymarchand@gmail.com;http://cinetpay.com
ECOLE PORTEURS DE VIE;Abidjan;+225 03489101;+225 22412980;patrick.dibi@vasesdhonneur.info;http://www.porteursdevie.org
Mikou Musique;Ottange;+33 7 60 49 06 54;+33 7 60 49 06 54;alexmikoui@yahoo.fr;http://www.mikoumusique.com
Groupe AbidjanPub;Abidjan;+225 07469765;+225 64202212;serviceclient@justepayer.com;http://www.justepayer.com
ETS MENINFO ET SERVICES;ARRAH;+225 09134185;+225 40135553;meninfo2015@gmail.com;http://www.cinetpay.com
Allex;Douala;+237 678502665;+237 690825905;incallex@gmail.com;http://allex.cm
SEPCI;abidjan;+225 59592221;+225 22015955;osysavane@hotmail.com;http://www.pressecotedivoire.ci
TIMEFLOWN;ABIDJAN;+225 57669156;+225 07167221;badouadingraelise@yahoo.fr;http://www.timeflown.ci
BETCLIC GROUP;Sliema;+356 99975936;+356 23455318;rpf.paymentsolutions@betclicgroup.com;http://betclic.com
AZCONCEPTIC;Abidjan;+225 47378500;+225 05272239;aboubakarkon1@yahoo.fr;http://azconceptic.com
Education;Abidjan;+225 89304164;+225 224210521;ladji@bacprep.com;http://bacprep.com
EDAF-Ecole Des Affaires;Abidjan;+225 41412176;+225 23003180;paiement@edaf-ci.com;http://www.edaf-ci.com
PLUS225;Abidjan;+225 07024837;+225 22490727;krajonas@hotmail.com;http://www.plus225.com
"PAYHUB SOLUTIONS COTE D&#039;IVOIRE";Abidjan;+225 72452538;+225 72452538;admin@payhubsolutions.com;http://payhubsolutions.com/
Horizon Media;Abidjan;+225 78555537;+225 22422616;quotidienlemandat2018@gmail.com;http://quotidienlemandat.net
KIVIZION;Abidjan;+225 09714636;+225 23465938;camaraka@yahoo.fr;http://www.kivizion.ci
Linkshoppers;ASNIERES SUR SEINE;+225 07554451;+225 22411010;alandou.jeanmichel@gmail.com;https://www.linkshoppers.com
CASH INVESTMENT;Abidjan;+225 79549150;+225 21368559;ignacioasseke20@gmail.com;http://cashinvestment-ci.com/
NGONO MARTINE HOLDING;Abidjan;+225 59678802;+225 22507757;nicolas.betsi@amourbonheur.com;http://www.ngm.ci
SCAR-SOFT;ABOMEY-CALAVI;66759094;66759094;ekpodilemaxime@gmail.com;http://chekelook.wixsite.com/shop
Ivoirehandicap.net;Abidjan;08353049;08353049;pay@ivoirehandicaptv.net;http://www.ivoirehandicap.net
SARL;ABIDJAN;46136765;22444489;myrhanntrad@gmail.com;http://www.myrhannentreprises.ci
Central park nwb;Abidjan;08205637;22456790;nwbcentralpark@gmail.com;http://centralparknwb.net
le temple du foot;Abidjan;07505012;07505012;infos@letempledufoot.ci;http://letempledufoot.ci
SARL;Abidjan;09624491;09624491;ig_christiankoffi@yahoo.fr;http://methodes-eng.com
SImer-gn;Conakry;622555551;622555551;dg@simer-gn.com;https://www.simer-gn.com
Influence.ci;abidjan;74098186;74098186;hammelcael@gmail.com;http://5000fcfa.com
WORKOO;Douala;655728725;655728725;jeffekoumbou@gmail.com;https://encore-en-construction.cm
LABELL 7;ABIDJAN;46003145;46003145;fredlabel7@gmail.com;http://gouabo.com
IPTEK-CI;Abidjan;+225 09128293;+225 22415521;jeanvincent45@gmail.com;http://itpek-ci.com
AXA CÔTE D'IVOIRE;ABIDJAN;+225 08013119;+225 20318888;admin@axa.ci;http://www.axa.ci
EXPERT EN LIGNE;Abidjan;07801817;07801817;pacous2000@gmail.com;http://www.cryptoenvente.com
odxcom;Abidjan;+22575081271;22009090;djackouattara@gmail.com;https://oplayce.ci
KALEJOB;Abidjan;+225 59599898;+225 59599898;phacina@gmail.com;http://kalejob.com
SYGMA MOBILE;ABIDJAN;58850865;22465647;admin@sygmamobile.com;http://www.sygmamobile.com
MAREUSSITE;Abidjan;+225 48872233;+225 48872233;admin@comcom.tech;http://comcom.tech
SOPREST-CI;abidjan;77958543;77958543;vithianolionel@gmail.com;http://soprest-ci.com/
Cervo SARL;douala;654280011;654280011;cervo.sarl@gmail.com;http://cervosarl.com
"Cloud&#039;Ivoir";Abidjan;49127074;49127074;jfbenie@gmail.com;http://ivoiconcou.net
COMPUCITY SARL;Abidjan;+225 01791919;+225 22421371;compu.city@hotmail.com;http://www.compucity-ci.com
CREATE;Abidjan;49570603;49570603;jeanfernandbatoua@gmail.com;http://createsarl.com
ChapChap SARL;Abidjan;+225 07352400;+225 22463395;chapchapifl@gmail.com;http://www.chapchapci.com
AGILLY;ABIDJAN;+225 78618384;+225 22001422;admin@agilly.net;http://www.littlesunforkids.org
"Afrique Etude et Strat&eacute;gies";Abidjan;54007378;49081535;ivoiresoir@gmail.com;https://www.afriksoir.net/
SOLUTION NUMERIQUE;Abidjan;59832191;21285676;moribakone01@gmail.com;https://www.monilivre.com/
"EDIATTAH Conseils &amp; Solutions";Abidjan;05517881;22440251;finance@ediattah.com;http://ediattah.com
KREATION FASHION;Abidjan;08962003;65836885;juliankre@hotmail.com;http://www.kreationci.com
Pigier ci;Abidjan;89728501;89728501;dj1407761@gmail.com;http://flashresultats.fr
Iwomi Technologies;Douala;677859147;677859147;info@softeller.com;https://www.softeller.com/
BOOK VOCAL SARL;abidjan;07175421;22542133;agounkpeto@yahoo.fr;http://bookvocal.com
SION7SERVICES;abidjan;86455110;23001172;voilassa@gmail.com;http://sion7services.com
SOUTRATRANS;Abidjan;57160204;57160204;soutratrans.contact@gmail.com;http://www.soutratrans.com
JAYME SARL;ABIDJAN;08519960;20225601;jaymeassurance@jayme.ci;http://www.depingo.ci
Code'Spyrit;Abidjan;+225 08748682;+225 ;cesarkouakou2@gmail.com;http://www.codespyrit.com
CA MEDIA SENEGAL;Dakar;766454713;338251634;dev@coinafrique.com;https://www.coinafrique.com
PCA Consulting;Abidjan;47123292;47123292;aristi.dago@yahoo.fr;http://wobnx.net
WEBLOGY OFFSHORE;Abidjan;46001760;22010110;ekassi@weblogy.com;http://www.weblogy.com/
GREATEST CONNEXION;ABIDJAN;89982267;20398530;babi.eventapp@gmail.com;http://babievent.net
CinetPay Finances;Abidjan;+225 00000000;+225 00000000;finances@cinetpay.com;http://cinetpay.com
CONVERGENCES-SOLIDARITE;ABIDJAN;+225 08914854;+225 22506043;jeanfabriceyapo@yahoo.fr;https://www.tusev.net
AIMAN INVESTMENT GROUP-CONSEIL;Abidjan;09016105;22544040;edemhonuto@gmail.com;http://ilico.ci
"Communaut&eacute; des Riches pour Dieu";Abidjan;76299426;76299426;jngomba2002@yahoo.fr;http://levezlesyeux.org
ESAVANN;Grand-Bassam;07201900;08701894;esavannsarl@gmail.com;http://www.esavann.com
HOLYBLUE SARL;ABIDJAN;09871009;09871009;carole.kotcha@gmail.com;https://www.holyblueci.com
FIJ COMMUNICATION;Abidjan;87425943;22434059;jolidehmag@gmail.com;http://jolideh.com
CinetPay;Abidjan;08919686;22423777;daniel.dindji@cinetpay.com;http://www.cinetpay.com
SAUSH SARL;ABIDJAN;85378566;85378566;saush.ci@gmail.com;http://priimos.com
3ICONES;abidjan;57152566;58494949;hamedekra.sh01@gmail.com;http://www.3icones.com
Semlex;Bassam;89663057;21598680;p.diaw@semlex-ci.com;http://semlex.com
africonnexion-Technologies;ABIDJAN;49933694;+22549933694;africonnexion.com@gmail.com;http://www.africonnexion.net
EVASIONWEB GROUPE;Abidjan;58585825;+22558585825;yves58585825@gmail.com;https://probuzz.info
LEBEL Edition;Abidjan;+225 40006213;+225 ;sopouderonny@gmail.com;http://www.lageneraledepresse.net
11 TALL GROUP;Abidjan;08624607;23509979;mtall1246@gmail.com;http://www.11tallgroup.com
AMLANE SARL;Abidjan;05111116;22002902;monique@amlane.net;http://www.amlane.net
AKASSA;abidjan;+225 06054098;+225 07755507;tnoci227@gmail.com;http://www.akassa.ci
CMS4P SERVICES ET TECHNOLOGIES;Abidjan;78661467;78661467;admin@cst-inter.com;http://cst-inter.com
AFRICA DIGITAL SERVICES;ABIDJAN;08340836;08340836;contact@africadigitalservices.net;https://africadigitalservices.net
INP SOLUTIONS;Abidjan;56736632;48626297;inpsolutions19@gmail.com;http://www.ishopgaz.com
Mon Medicament;Abidjan;41405850;41405850;ericadjeb@yahoo.com;http://jemstech.net/monmedicament
SYSTEC;ABIDJAN;+225 08369991;+225 22432312;jean.abou@systec.ci;http://www.systec.ci
GLOBO CI;ABIDJAN;56953020;77120130;hello@globo.taxi;https://www.globo.taxi
ADJEMIN;Abidjan;56888385;84400483;angebagui@adjemin.com;https://adjemin.com
LAVI;Abidjan;77153961;77153961;lavidjom@gmail.com;http://www.academietransit.net
Mon Medicament;lanham;+12404762146;22541405850;adjrae@yahoo.com;http://jemstech.net/monmedicament
WEENBUZZ CORP;ABIDJAN;+225 57016165;+225 ;alex@weenbuzz.com;http://www.weenbuzz.com
DISTRIDOM;Abidjan;+225 09219125;+225 21245052;distridomci@gmail.com;http://www.distridom.cu.cc
XTRAD IT;Abidjan;+225 48701009;+225 21372679;xtradit.ci@gmail.com;https://www.xtrashop.ci
kanouweb;"ABIDJAN, COTE D'IVOIRE";+225 05512006;+225 05512006;mikouei1@gmail.com;http://kanouweb.com
SOFT EVENTS;Abidjan;+225 08322313;+225 ;charly.ablet@gmail.com;http://www.softevents-ci.com
Nafatech;bobo dioulasso;+226 ;+226 ;ismaeldramani@gmail.com;http://www.cinetcore.ci
9Dev;Abidjan;+225 08352212;+225 21014266;dogad.dogoui@gmail.com;http://www.ninedevelopment.com
Magma Côte d’Ivoire (MCI);Abidjan;+225 06222222;+225 22007381;admin@magma.ci;https://www.magma.ci
1Techno;Abidjan;+225 06349152;+225 23000644;admin@1techno.net;http://1techno.net
RENDEZ-VOUS COTE D'IVOIRE;ABIDJAN;+225 58128622;+225 ;prahoismael@yahoo.fr;http://www.rdvci.net
ABIDJAN-MARKET;Abidjan;+225 59048890;+225 ;atse@abidjan-market.com;http://www.abidjan-market.net
ICREATIV WEB STUDIO;ABIDJAN;+225 47885989;+225 01190180;paulin.kouakou@icreativ-ci.com;http://www.icreativ-ci.com
Events & Studios;Abidjan;+225 07479306;+225 ;contact@eventsetstudios.ci;http://eventsetstudios.ci
UMECI;ABIDJAN;+225 08627795;+225 22446668;gobou@umeci.org.ci;https://www.umeci.org.ci
EDUCAS CONSULTING;ABIDJAN;+225 57917905;+225 21003060;nibon.educasconsulting@gmail.com;https://www.educasconsulting.com
umeci;Abidjan;+225 04755621;+225 ;odyright@gmail.com;http://umeci.org.ci
NEXT-IT;ABIDJAN;+225 07473978;+225 ;info@next-it.info;http://next-it.info
Ivoire Software;Abidjan;+225 48567264;+225 20256400;ivoiresoftware@yahoo.fr;http://www.ivoiresoftmusic.com
BBStic;Grand Bassam;+225 04000685;+225 21301615;salawunandjim@gmail.com;https://bbstic.com
SODEWARE;Abidjan;+225 09508389;+225 24003181;contacts@sodeware.net;http://www.sodeware.net
DATECH;Abidjan;+225 54545428;+225 59595939;amadousoind@yahoo.fr;http://www.datech-ci.net
GLOBAL PAY TRANS;Abidjan;+225 77826083;+225 01669953;ouhon2002@yahoo.fr;http://www.globalpaytrans.com
SARL;Abidjan;+225 08125525;+225 22436115;angeleky@gmail.com;http://vizionci.com/Template/
Haljon Multimedia;Abidjan;+225 48838831;+225 22492275;nchoherve02@gmail.com;http://www.ayella.ci
SAIBATOU DIOUF;ABIDJAN;+225 55452163;+225 24393097;istawamoney@gmail.com;http://istawamoney-ci.com
CLICK-GADGET.COM;Niamey;+227 90222424;+227 98575050;leoncedem@leoncedem.com;http://www.click-gadget.com
